Date,Year,Month,Site Region,Commissioning date (YYYY-MM),Planned Uptime (in %),Planned Energy from PV (in kWh),Planned Energy from Hydro (in kWh),Planned Energy from DG (in kWh),Planned Total Energy produced (in kWh),Planned Fuel Consumption (Liters),Expected Energy from PV (in kWh),Actual Irradiation (W/2),Actual Uptime (in %),Actual Energy from PV (kWh),Actual Energy from Hydro (kWh),Actual Energy from DG (kWh),Actual Total Energy produced (in kWh),Actual Fuel Consumption (Liters),Actual Energy Exported to DN (KWh),Actual REF (%),Actual UR (%),Actual Distribution losses (%),Actual Energy Consumption (kWh)
01/29/2022,2022,1,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,588",151.04,100.00%,"3,639",0,1514.9,"5,154",404,4913,71%,92%,-100%,
01/30/2022,2022,1,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,100",200.82,100.00%,"3,866",0,1082.6,"4,949",386,4567,78%,86%,-100%,
01/31/2022,2022,1,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,121",102.75,100.00%,"2,690",0,2208.4,"4,898",533,4619,55%,87%,-100%,
02/01/2022,2022,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,652",219.01,100.00%,"3,868",0,1119,"4,987",457,4756,78%,89%,-100%,
02/02/2022,2022,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,292",141.31,100.00%,"3,671",0,1687.9,"5,359",476,4952,69%,93%,-100%,
02/03/2022,2022,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,514",115.68,100.00%,"3,111",0,2102.7,"5,214",686,4937,60%,93%,-100%,
02/04/2022,2022,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,719",188.27,98.95%,"4,062",0,1002,"5,064",292,4785,80%,90%,-100%,
02/05/2022,2022,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,377",144.10,100.00%,"3,565",0,1639.9,"5,205",426,4860,68%,91%,-100%,
02/06/2022,2022,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,887",259.64,100.00%,"3,954",0,1079.8,"5,034",393,4752,79%,89%,-100%,
02/07/2022,2022,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,470",212.99,100.00%,"4,078",0,1117,"5,195",310,4997,78%,94%,-100%,
02/08/2022,2022,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"1,978",65.12,100.00%,"1,846",0,3522.1,"5,368",919,5060,34%,95%,-100%,
02/09/2022,2022,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,779",124.40,100.00%,"3,301",0,1954.9,"5,256",604,4853,63%,91%,-100%,
02/10/2022,2022,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,008",164.88,100.00%,"4,123",0,1089.7,"5,213",322,4914,79%,92%,-100%,
02/11/2022,2022,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,181",137.65,100.00%,"3,295",0,1946.2,"5,241",600,4935,63%,93%,-100%,
02/12/2022,2022,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,383",144.31,100.00%,"3,866",0,1454.8,"5,321",390,5027,73%,94%,-100%,
02/13/2022,2022,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,257",173.08,100.00%,"3,627",0,1274,"4,901",421,4593,74%,86%,-100%,
02/14/2022,2022,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,563",216.07,100.00%,"4,097",0,1200.9,"5,298",344,5008,77%,94%,-100%,
02/15/2022,2022,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,232",172.24,100.00%,"4,037",0,1383.1,"5,420",411,5047,74%,95%,-100%,
02/16/2022,2022,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,360",176.47,100.00%,"2,726",0,1258.9,"3,985",438,3232,68%,61%,-100%,
02/17/2022,2022,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,292",141.30,100.00%,"3,335",0,3138.9,"6,474",886,6572,52%,123%,-100%,
02/18/2022,2022,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,037",165.83,100.00%,"3,650",0,1677.7,"5,328",496,4929,69%,92%,-100%,
02/19/2022,2022,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,958",130.29,100.00%,3088,0,2141.5,5229.5,638,4936,59%,93%,-100%,
02/20/2022,2022,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,771,25.37,100.00%,718,0,3804.4,"4,522",1100,4312,16%,81%,-100%,
02/21/2022,2022,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,190",236.72,100.00%,"3,997",0,968.5,"4,966",309,4605,80%,86%,-100%,
02/22/2022,2022,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,942",129.78,100.00%,"3,522",0,1730.4,"5,252",517,4958,67%,93%,-100%,
02/23/2022,2022,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,635",119.68,95.42%,"2,979",0,1512.5,"4,492",451,4235,66%,79%,-100%,
02/24/2022,2022,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"2,387",78.58,100.00%,"2,124",0,2990.1,"5,114",883,4934,42%,93%,-100%,
02/25/2022,2022,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,842",159.40,100.00%,"3,753",0,1529.3,"5,282",472,4927,71%,92%,-100%,
02/26/2022,2022,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,821",191.64,100.00%,"4,148",0,800.6,"4,949",232,4758,84%,89%,-100%,
02/27/2022,2022,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,927",228.04,100.00%,"3,900",0,1009.3,"4,909",299,4538,79%,85%,-100%,
02/28/2022,2022,2,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,820",191.59,100.00%,"3,666",0,1761.2,"5,427",501,4937,68%,93%,-100%,
03/01/2022,2022,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,521",247.61,100.00%,"3,923",0,919.5,"4,843",278,4662,81%,87%,-100%,
03/02/2022,2022,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"1,744",57.40,100.00%,"1,602",0,3745.8,"5,348",1082,5095,30%,96%,-100%,
03/03/2022,2022,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"8,004",263.50,100.00%,"4,307",0,1067.7,"5,375",348,5034,80%,94%,-100%,
03/04/2022,2022,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"8,899",292.98,100.00%,"4,291",0,1079.9,"5,371",325,4997,80%,94%,-100%,
03/05/2022,2022,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,617",184.92,100.00%,"3,777",0,1227.8,"5,005",369,4840,75%,91%,-100%,
03/06/2022,2022,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,779",223.18,100.00%,"4,098",0,1372.8,"5,471",418,4768,75%,89%,-100%,
03/07/2022,2022,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,977",196.76,100.00%,"4,475",0,711.9,"5,187",215,4843,86%,91%,-100%,
03/08/2022,2022,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,084",200.28,100.00%,"4,528",0,910.5,"5,439",276,5129,83%,96%,-100%,
03/09/2022,2022,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,502",115.29,100.00%,"2,781",0,2024.5,"4,806",612,4754,58%,89%,-100%,
03/10/2022,2022,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,279",239.64,100.00%,"4,733",0,1018.5,"5,752",306,5080,82%,95%,-100%,
03/11/2022,2022,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,828",257.72,100.00%,"4,831",0,657.2,"5,488",194,5240,88%,98%,-100%,
03/12/2022,2022,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,714",155.19,100.00%,"3,946",0,1144.6,"5,091",349,5021,78%,94%,-100%,
03/13/2022,2022,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,335",208.56,96.18%,"4,297",0,983.1,"5,280",294,4596,81%,86%,-100%,
03/14/2022,2022,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,671",219.63,100.00%,"4,388",0,773.2,"5,161",232,5075,85%,95%,-100%,
03/15/2022,2022,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"8,004",263.51,100.00%,"4,533",0,1116.7,"5,650",329,5144,80%,96%,-100%,
03/16/2022,2022,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,886",193.78,100.00%,"4,279",0,955.1,"5,234",290,5180,82%,97%,-100%,
03/17/2022,2022,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"2,515",82.79,100.00%,"2,197",0,3145.6,"5,343",933,4992,41%,94%,-100%,
03/18/2022,2022,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,018",99.35,100.00%,"2,788",0,2662.1,"5,450",793,5079,51%,95%,-100%,
03/19/2022,2022,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"8,353",275.00,100.00%,"4,473",0,994.4,"5,467",307,5158,82%,97%,-100%,
03/20/2022,2022,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,509",247.21,100.00%,"4,205",0,1068.7,"5,274",319,4889,80%,92%,-100%,
03/21/2022,2022,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,883",127.83,100.00%,"3,281",0,2067.3,"5,348",620,5219,61%,98%,-100%,
03/22/2022,2022,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"2,031",66.85,100.00%,"1,889",0,3769.7,"5,659",1116,5221,33%,98%,-100%,
03/23/2022,2022,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,574",183.52,100.00%,"4,256",0,1246.1,"5,502",358,5102,77%,96%,-100%,
03/24/2022,2022,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,234",205.24,100.00%,"4,216",0,1556.2,"5,772",483,5278,73%,99%,-100%,
03/25/2022,2022,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,694",220.38,100.00%,"4,218",0,1279.6,"5,498",382,5251,77%,98%,-100%,
03/26/2022,2022,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,051",199.21,100.00%,"4,251",0,1020.6,"5,272",297,5043,81%,95%,-100%,
03/27/2022,2022,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,662",252.23,100.00%,"3,829",0,1191.8,"5,021",343,4717,76%,88%,-100%,
03/28/2022,2022,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,170",236.04,100.00%,"3,903",0,1550.4,"5,453",443,4999,72%,94%,-100%,
03/29/2022,2022,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,291",207.11,100.00%,"4,692",0,824.6,"5,517",260,5289,85%,99%,-100%,
03/30/2022,2022,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,509",115.52,100.00%,"3,166",0,2522,"5,688",727,5196,56%,97%,-100%,
03/31/2022,2022,3,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"8,191",269.65,100.00%,"4,232",0,1214.5,"5,447",353,5226,78%,98%,-100%,
04/01/2022,2022,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,559",215.92,100.00%,"4,613",0,960.9,"5,574",294,5319,83%,100%,-100%,
04/02/2022,2022,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,649",218.89,100.00%,"4,030",0,1433,"5,463",396,5068,74%,95%,-100%,
04/03/2022,2022,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,506",181.27,100.00%,"4,216",0,1001.7,"5,218",310,4943,81%,93%,-100%,
04/04/2022,2022,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,326",175.35,100.00%,"4,189",0,1769.3,"5,958",542,5519,70%,103%,-100%,
04/05/2022,2022,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,536",248.10,100.00%,"4,505",0,1205.9,"5,711",339,5434,79%,102%,-100%,
04/06/2022,2022,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,974",196.69,100.00%,"4,177",0,1622.9,"5,800",449,5368,72%,101%,-100%,
04/07/2022,2022,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,213",204.53,100.00%,"4,241",0,1459,"5,700",470,5309,74%,100%,-100%,
04/08/2022,2022,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,159",235.67,100.00%,"4,391",0,1441.4,"5,832",449,5476,75%,103%,-100%,
04/09/2022,2022,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"8,921",293.69,100.00%,"4,420",0,1130,"5,550",338,5366,80%,101%,-100%,
04/10/2022,2022,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"2,696",88.76,100.00%,"2,497",0,2616.7,"5,114",736,4820,49%,90%,-100%,
04/11/2022,2022,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,369",209.68,100.00%,"4,542",0,1261,"5,803",428,5370,78%,101%,-100%,
04/12/2022,2022,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"8,150",268.30,100.00%,"4,263",0,1390.1,"5,653",408,5471,75%,103%,-100%,
04/13/2022,2022,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,794",190.76,100.00%,"3,984",0,1714.4,"5,698",518,5216,70%,98%,-100%,
04/14/2022,2022,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,692",121.56,100.00%,"3,134",0,2521.1,"5,655",731,5369,55%,101%,-100%,
04/15/2022,2022,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,737",155.96,100.00%,"3,493",0,2165.5,"5,659",667,5409,62%,101%,-100%,
04/16/2022,2022,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,392",111.67,100.00%,"3,045",0,2299.2,"5,344",588,5089,57%,95%,-100%,
04/17/2022,2022,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,263",206.18,100.00%,"3,650",0,1305,"4,955",402,4739,74%,89%,-100%,
04/18/2022,2022,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,147",235.28,100.00%,"4,482",0,1254.8,"5,737",373,5337,78%,100%,-100%,
04/19/2022,2022,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,831",191.97,100.00%,"3,908",0,1407,"5,315",407,5025,74%,94%,-100%,
04/20/2022,2022,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"2,385",78.51,100.00%,"2,232",0,3194.7,"5,427",960,5046,41%,95%,-100%,
04/21/2022,2022,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,647",120.05,98.26%,"3,290",0,2565.8,"5,856",689,5460,56%,102%,-100%,
04/22/2022,2022,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,631",119.54,77.08%,"3,406",0,407.9,"3,814",161,3685,89%,69%,-100%,
04/23/2022,2022,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,581",183.72,100.00%,"4,062",0,935.2,"4,997",300,4677,81%,88%,-100%,
04/24/2022,2022,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,361",209.42,100.00%,"3,512",0,1396.2,"4,908",402,4609,72%,86%,-100%,
04/25/2022,2022,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,639",185.63,99.65%,"4,314",0,1257.8,"5,572",386,5253,77%,98%,-100%,
04/26/2022,2022,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,063",199.60,100.00%,"3,837",0,1621.6,"5,459",467,5181,70%,97%,-100%,
04/27/2022,2022,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,683",220.01,100.00%,"4,377",0,1415.7,"5,793",374,5415,76%,102%,-100%,
04/28/2022,2022,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,914",161.77,100.00%,"3,681",0,1915.3,"5,596",609,5246,66%,98%,-100%,
04/29/2022,2022,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,385",144.36,100.00%,"3,289",0,2287.8,"5,577",613,5193,59%,97%,-100%,
04/30/2022,2022,4,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,099",167.86,100.00%,"3,817",0,1844.8,"5,662",580,5417,67%,102%,-100%,
05/01/2022,2022,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,452",113.64,100.00%,"3,049",0,1958.7,"5,008",557,4655,61%,87%,-100%,
05/02/2022,2022,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,421",211.40,100.00%,"4,748",0,894.6,"5,643",276,5467,84%,102%,-100%,
05/03/2022,2022,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,817",257.36,100.00%,"4,421",0,1324,"5,745",392,5420,77%,102%,-100%,
05/04/2022,2022,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,276",206.60,100.00%,"4,218",0,1548.8,"5,767",419,5312,73%,100%,-100%,
05/05/2022,2022,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,518",181.67,100.00%,"4,232",0,1377.8,"5,610",399,5224,75%,98%,-100%,
05/06/2022,2022,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,376",177.00,100.00%,"4,018",0,1707.8,"5,726",569,5352,70%,100%,-100%,
05/07/2022,2022,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,516",214.52,100.00%,"4,180",0,1205.7,"5,386",318,5133,78%,96%,-100%,
05/08/2022,2022,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,639",185.63,100.00%,"3,907",0,1394.6,"5,302",444,4930,74%,92%,-100%,
05/09/2022,2022,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,470",245.92,100.00%,"4,418",0,1451.2,"5,869",429,5508,75%,103%,-100%,
05/10/2022,2022,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,044",231.90,100.00%,"4,769",0,872.2,"5,641",259,5437,85%,102%,-100%,
05/11/2022,2022,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,336",208.58,100.00%,"4,068",0,1676.2,"5,744",489,5284,71%,99%,-100%,
05/12/2022,2022,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,689",187.29,100.00%,"4,141",0,1627.7,"5,769",505,5439,72%,102%,-100%,
05/13/2022,2022,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,331",241.36,100.00%,"4,128",0,1328.6,"5,457",382,5123,76%,96%,-100%,
05/14/2022,2022,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,008",230.70,100.00%,"4,202",0,1336.5,"5,539",417,5148,76%,97%,-100%,
05/15/2022,2022,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,069",166.87,100.00%,"3,863",0,1430.7,"5,294",435,4939,73%,93%,-100%,
05/16/2022,2022,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,032",165.65,100.00%,"3,946",0,1585.7,"5,532",485,5336,71%,100%,-100%,
05/17/2022,2022,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,520",181.74,97.91%,"4,070",0,1208.7,"5,279",364,4979,77%,93%,-100%,
05/18/2022,2022,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,584",183.85,100.00%,"4,159",0,1449.7,"5,609",406,5197,74%,97%,-100%,
05/19/2022,2022,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,368",242.56,100.00%,"4,303",0,883.3,"5,186",231,4931,83%,92%,-100%,
05/20/2022,2022,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,706",220.78,100.00%,"4,168",0,1501.3,"5,669",407,5267,74%,99%,-100%,
05/21/2022,2022,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,641",185.72,100.00%,"4,183",0,1244.3,"5,427",340,5154,77%,97%,-100%,
05/22/2022,2022,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,281",173.85,100.00%,"3,927",0,1162,"5,089",304,4819,77%,90%,-100%,
05/23/2022,2022,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,539",116.50,100.00%,"3,020",0,2480.1,"5,500",616,5165,55%,97%,-100%,
05/24/2022,2022,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,093",101.84,100.00%,"2,563",0,2841,"5,404",775,5368,47%,101%,-100%,
05/25/2022,2022,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,002",131.75,100.00%,"3,315",0,2745.3,"6,060",696,5437,55%,102%,-100%,
05/26/2022,2022,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,383",177.21,100.00%,"4,148",0,1745.1,"5,893",363,5579,70%,105%,-100%,
05/27/2022,2022,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,097",200.72,100.00%,"4,259",0,1556,"5,815",522,5435,73%,102%,-100%,
05/28/2022,2022,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,752",123.51,100.00%,"3,066",0,2538.5,"5,605",693,5620,55%,105%,-100%,
05/29/2022,2022,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,471",147.20,100.00%,"3,601",0,1779.8,"5,381",552,5075,67%,95%,-100%,
05/30/2022,2022,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,770",124.12,100.00%,"3,318",0,2566.8,"5,885",756,5524,56%,104%,-100%,
05/31/2022,2022,5,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,282",206.82,99.65%,"3,933",0,1947.2,"5,880",533,5511,67%,103%,-100%,
06/01/2022,2022,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,811",125.47,99.65%,"3,114",0,2949.4,"6,063",814,5831,51%,109%,-100%,
06/02/2022,2022,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,505",148.31,99.65%,"3,477",0,2641.8,"6,119",749,5869,57%,110%,-100%,
06/03/2022,2022,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,375",209.88,100.00%,"4,278",0,1629.6,"5,908",391,5500,72%,103%,-100%,
06/04/2022,2022,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"8,530",280.83,100.00%,"4,615",0,932.3,"5,547",274,5323,83%,100%,-100%,
06/05/2022,2022,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,882",259.48,100.00%,"4,006",0,1131,"5,137",324,4820,78%,90%,-100%,
06/06/2022,2022,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,918",194.82,100.00%,"4,482",0,1314,"5,796",346,5605,77%,105%,-100%,
06/07/2022,2022,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,445",212.18,100.00%,"4,539",0,1291.5,"5,831",365,5534,78%,104%,-100%,
06/08/2022,2022,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,506",214.20,100.00%,"4,427",0,1553.8,"5,981",430,5564,74%,104%,-100%,
06/09/2022,2022,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"2,444",80.47,100.00%,"2,088",0,3807.4,"5,895",1033,5383,35%,101%,-100%,
06/10/2022,2022,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,571",216.33,100.00%,"4,157",0,1487,"5,644",428,5510,74%,103%,-100%,
06/11/2022,2022,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"3,546",116.73,100.00%,"2,769",0,2711.9,"5,481",796,5520,51%,103%,-100%,
06/12/2022,2022,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,206",237.24,100.00%,"3,647",0,2012,"5,659",442,5123,64%,96%,-100%,
06/13/2022,2022,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,244",205.55,100.00%,"4,375",0,1606.2,"5,981",431,5506,73%,103%,-100%,
06/14/2022,2022,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,760",255.46,100.00%,"4,508",0,1179,"5,687",255,5477,79%,103%,-100%,
06/15/2022,2022,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,496",180.93,100.00%,"4,510",0,1412,"5,922",367,5560,76%,104%,-100%,
06/16/2022,2022,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,086",233.27,100.00%,"4,594",0,1062,"5,656",400,5500,81%,103%,-100%,
06/17/2022,2022,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,197",236.95,100.00%,"4,329",0,2494.3,"6,823",510,5869,63%,110%,-100%,
06/18/2022,2022,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,289",141.19,100.00%,"3,516",0,2403.4,"5,919",571,5618,59%,105%,-100%,
06/19/2022,2022,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,411",145.21,100.00%,"3,709",0,1864.1,"5,573",516,5302,67%,99%,-100%,
06/20/2022,2022,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,891",161.02,99.90%,"4,087",0,1973.9,"6,061",508,5846,67%,110%,-100%,
06/21/2022,2022,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"7,183",236.46,100.00%,"4,676",0,1353.7,"6,030",355,5601,78%,105%,-100%,
06/22/2022,2022,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,864",225.97,99.90%,"4,692",0,1134.6,"5,827",284,5525,81%,104%,-100%,
06/23/2022,2022,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,551",215.66,100.00%,"4,726",0,1380.7,"6,107",346,5739,77%,108%,-100%,
06/24/2022,2022,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"6,996",230.32,100.00%,"4,523",0,1483.2,"6,006",463,5607,75%,105%,-100%,
06/25/2022,2022,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"4,470",147.16,99.31%,"3,715",0,2292.7,"6,008",636,5677,62%,106%,-100%,
06/26/2022,2022,6,S1,Feb-2020,100.00%,"4,095",0,"1,696","5,791",475,"5,796",190.82,100.00%,"4,044",0,1573.3,"5,617",370,5343,72%,100%,-100%,
